,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,0.000015813,1.0,1.0,274.2691614595739
1,1,Sirius,8.6,2.1,1.71,196.97179955032502
2,2,Canopus,310,15.0,71.0,0.8161153386021839
3,3,Alpha Centauri,4.4,1.1,1.2,209.51116500384126
4,4,Arcturus,37,1.1,26.0,0.4462959727892475
5,5,Vega,25,2.2,2.7,82.76984296448046
6,6,Capella,43,2.6,12.0,4.952082081908975
7,7,Rigel,860,23.0,78.9,1.0133297854321701
8,8,Procyon,11.4,1.5,1.9,113.96225545411659
9,9,Betelgeuse,640,20.0,950.0,0.006077986957552886
10,10,Achernar,144,6.7,9.3,21.246425965766498
11,11,Hadar,390,10.5,8.6,38.93761756794925
12,12,Altair,17,1.8,1.8,152.37175636642996
13,13,Acrux,320,18.0,8.9,62.32603088337749
14,14,Aldebaran,65,1.5,44.0,0.21250193294905007
15,15,Antares,600,12.0,680.0,0.0071177118025841
16,16,Spica,260,11.43,7.47,56.18003500809
17,17,Pollux,34,1.9,8.8,6.729227876719916
18,18,Fomalhaut,25,1.9,1.8,160.83685394234269
19,19,Deneb,"2,600",19.0,203.0,0.12645572733460908
20,20,Mimosa,350,16.0,8.4,62.192553618951
21,21,Regulus,77,3.8,3.1,108.45190567600218
22,22,Adhara,430,12.5,14.0,17.491655705329972
23,23,Shaula,700,14.5,8.8,51.35463379602042
24,24,Castor,52,2.8,2.4,133.3252868206262
25,25,Gacrux,88,1.5,84.0,0.05830551901776656
26,26,Bellatrix,240,8.6,5.8,70.11637302474244
27,27,Elnath,130,5.0,4.2,77.74069202368877
28,28,Miaplacidus,110,3.5,6.8,20.759992757536963
29,29,Alnilam,"2,000",32.0,42.0,4.9754042895160815
30,30,Gamma Velorum,"1,100",9.0,6.0,68.56729036489348
31,31,Alnair,101,4.0,3.4,94.90282403445462
32,32,Alioth,81,2.9,4.2,45.089601373739484
33,33,Alnitak,1050,33.0,20.0,22.627205820414854
34,34,Dubhe,120,4.25,30.0,1.2951599291146547
35,35,Mirfak,590,8.5,68.0,0.5041712526830403
36,36,Wezen,"1,600",17.0,200.0,0.11656439362031895
37,37,Sargas,270,5.7,26.0,2.3126245862715558
38,38,Kaus Australis,140,3.5,6.8,20.759992757536963
39,39,Avior,630,9.0,130.0,0.14606050018557193
40,40,Alkaid,104,6.1,3.4,144.7268066525433
